date_mutation,valeur_fonciere,code_postal,section,type_local,surface_relle_bati,nombre_pieces_principales,surface_terrain
2015/12/15,254050,33000,HB,Maison,43,2,
2015/12/30,248000,33000,HD,Appartement,54,3,
2016/2/11,155000,33000,PL,Appartement,57,2,
2016/3/3,160000,33000,PL,Appartement,50,3,
2016/2/19,132000,33000,OP,Appartement,51,3,
2016/2/19,132000,33000,OP,Appartement,49,2,
2016/3/29,105000,33000,PL,Appartement,32,1,
2016/5/12,120000,33000,PL,Appartement,40,2,
2016/6/17,125500,33000,PM,Appartement,37,1,
2016/6/17,1680000,33000,PE,Appartement,97,3,
2016/6/17,1680000,33000,PE,Appartement,98,5,
2016/6/17,1680000,33000,PE,Appartement,96,4,
2016/6/17,200000,33000,PE,Appartement,74,3,
2016/6/29,175000,33000,OP,Appartement,68,3,
2016/1/22,650000,33000,DU,Appartement,85,6,250
2016/1/28,165000,33000,DO,Appartement,25,1,
2016/1/28,152850,33000,DO,Appartement,30,1,
2016/7/18,300000,33000,DO,Appartement,30,1,53
2016/7/18,300000,33000,DO,Appartement,28,2,53
2016/7/18,300000,33000,DO,Appartement,28,0,53
2016/7/18,300000,33000,DO,Appartement,20,1,53
2017/10/6,339200,33000,PL,Appartement,50,3,
2017/3/31,475000,33000,DU,Appartement,85,6,
2017/7/27,400000,33000,IC,Maison,159,6,169
2017/12/29,138000,33000,HP,Appartement,40,2,
2017/12/20,417300,33000,HT,Appartement,145,5,
2018/3/16,101000,33000,KL,Appartement,16,1,
2018/8/31,305000,33000,LO,Appartement,68,2,123
2018/8/31,305000,33000,LO,Appartement,27,1,123
2018/8/31,305000,33000,LO,Appartement,28,1,123
2018/11/30,500000,33000,LO,Appartement,27,1,123
2018/11/30,500000,33000,LO,Appartement,68,2,123
2018/11/30,500000,33000,LO,Appartement,28,1,123
2018/11/28,120000,33000,KL,Appartement,25,1,
2018/1/17,181000,33000,HD,Appartement,36,2,
2018/2/8,210000,33000,HP,Appartement,55,3,
2018/7/5,745000,33000,EV,Maison,137,5,131
2018/9/20,280000,33000,HP,Appartement,55,3,
2019/2/11,635000,33000,LP,Maison,135,4,295
2019/3/12,793000,33000,LW,Maison,149,4,101
2019/5/15,155000,33000,LO,Appartement,27,1,
2019/6/27,78000,33000,KL,Appartement,16,1,
2015/1/19,225000,33000,LV,Appartement,98,3,
2015/2/2,670000,33000,PS,Maison,173,6,442
2015/4/16,23121,33000,DW,Appartement,70,4,
2015/10/15,230500,33000,EI,Maison,65,4,104
2016/6/9,232000,33000,OS,Maison,70,3,
2016/1/25,350000,33000,HX,Maison,90,4,306
2016/10/10,567576,33000,IR,Maison,350,8,171
2016/11/21,390000,33000,HE,Appartement,110,3,
2016/9/20,650000,33000,ER,Appartement,25,1,174
2016/9/20,650000,33000,ER,Appartement,26,1,174
2016/9/20,650000,33000,ER,Appartement,28,1,174
2016/9/20,650000,33000,ER,Appartement,100,4,174
2016/9/20,650000,33000,ER,Appartement,100,4,174
2016/9/20,650000,33000,ER,Appartement,25,1,174
2016/9/20,650000,33000,ER,Appartement,100,3,174
2016/12/23,129000,33000,DO,Appartement,40,2,
2017/2/6,585000,33000,LX,Maison,210,8,108
2017/8/31,588500,33000,IW,Maison,102,4,175
2017/12/11,450000,33000,OY,Maison,100,5,184
2017/5/19,545000,33000,HE,Appartement,45,2,
2017/5/19,545000,33000,HE,Appartement,70,1,
2017/6/30,442000,33000,HE,Appartement,190,5,
2017/8/28,382000,33000,DW,Appartement,70,4,
2017/11/17,715000,33000,DP,Appartement,16,1,84
2017/11/17,715000,33000,DP,Appartement,14,1,84
2017/11/17,715000,33000,DP,Appartement,13,1,84
2017/11/17,715000,33000,DP,Appartement,10,1,84
2017/11/17,715000,33000,DP,Appartement,9,1,84
2017/11/17,715000,33000,DP,Appartement,15,1,84
2017/11/17,715000,33000,DP,Appartement,14,1,84
2017/11/17,715000,33000,DP,Appartement,10,1,84
2017/11/17,715000,33000,DP,Appartement,14,1,84
2017/11/17,715000,33000,DP,Appartement,15,1,84
2018/1/22,2100000,33000,LA,Appartement,65,2,607
2018/7/18,356774,33000,MD,Appartement,69,2,
2018/1/19,900000,33000,DP,Appartement,10,1,84
2018/1/19,900000,33000,DP,Appartement,13,1,84
2018/1/19,900000,33000,DP,Appartement,14,1,84
2018/1/19,900000,33000,DP,Appartement,9,1,84
2018/1/19,900000,33000,DP,Appartement,15,1,84
2018/1/19,900000,33000,DP,Appartement,16,1,84
2018/1/19,900000,33000,DP,Appartement,14,1,84
2018/1/19,900000,33000,DP,Appartement,10,1,84
2018/1/19,900000,33000,DP,Appartement,15,1,84
2018/1/19,900000,33000,DP,Appartement,14,1,84
2018/5/15,400000,33000,HB,Appartement,28,2,50
2018/5/15,400000,33000,HB,Appartement,28,2,50
2018/10/25,140000,33000,HO,Appartement,20,1,
2018/11/6,309500,33000,DP,Appartement,15,1,
2018/11/6,309500,33000,DP,Appartement,14,1,
2018/11/12,304500,33000,DP,Appartement,13,1,
2018/11/12,304500,33000,DP,Appartement,15,1,
2018/12/21,211350,33000,HA,Appartement,46,2,
2018/12/27,298500,33000,DP,Appartement,14,1,
2018/12/27,298500,33000,DP,Appartement,16,1,
2019/3/28,2830000,33000,LA,Appartement,65,2,607
2019/1/4,539500,33000,DP,Appartement,10,1,
2019/1/4,539500,33000,DP,Appartement,14,1,
2019/1/4,539500,33000,DP,Appartement,10,1,
2019/6/13,600000,33000,HE,Appartement,190,5,
2014/2/10,107000,33000,KL,Appartement,21,1,
2014/3/12,230791,33000,LO,Appartement,61,3,
2014/8/29,332000,33000,OS,Maison,133,5,287
2014/10/9,106050,33000,KL,Appartement,37,1,
2014/2/27,135000,33000,ID,Appartement,65,3,
2014/2/21,118000,33000,ID,Appartement,47,2,
2014/4/25,116250,33000,ID,Appartement,66,3,
2014/6/5,114000,33000,ID,Appartement,47,2,
2014/6/17,390000,33000,DS,Appartement,108,4,73
2014/7/11,155000,33000,ID,Appartement,65,14,
2014/8/1,104000,33000,HE,Appartement,25,1,
2014/8/20,88000,33000,HE,Appartement,29,1,
2014/9/15,112040,33000,HE,Appartement,30,1,
2015/5/5,5000,33000,OX,Appartement,58,3,
2015/5/5,3025,33000,OX,Appartement,70,3,
2015/6/23,178000,33000,OX,Appartement,58,3,
2015/9/10,370000,33000,KX,Appartement,42,2,
2015/9/10,370000,33000,KX,Appartement,50,2,
2015/8/25,560000,33000,LV,Maison,180,10,185
2015/9/23,68000,33000,KL,Appartement,29,1,
2015/10/15,62000,33000,KL,Appartement,21,1,
2015/10/6,1100000,33000,KN,Appartement,189,5,
2015/1/26,180000,33000,ID,Appartement,78,4,
2015/2/23,202500,33000,ID,Appartement,73,2,
2015/3/13,106000,33000,ID,Appartement,47,2,
